,Natural Language Query,Generated SQL Query,Result
16,"What major is every student who does not own a cat as a pet, and also how old are they?","SELECT Student.Major, Student.Age
FROM Student
WHERE Student.StuID NOT IN (
    SELECT Has_Pet.StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE Pets.PetType = 'cat'
);"," Major  Age
   600   19
   600   21
   600   20
   600   26
   600   18
   600   18
   600   20
   600   19
   600   17
   600   22
   600   20
   600   18
   600   16
   600   17
   600   27
   600   20
   600   18
   520   22
   520   19
   540   17
   520   20
   540   18
   520   18
   520   19
   520   18
   550   20
   100   17
   550   21
   550   20
   550   20
   550   18
    50   18
    50   26"
17,Find the id of students who do not have a cat pet.,"SELECT StuID 
FROM Student 
WHERE StuID NOT IN (
    SELECT StuID 
    FROM Has_Pet 
    JOIN Pets ON Has_Pet.PetID = Pets.PetID 
    WHERE PetType = 'cat'
)"," StuID
  1002
  1003
  1004
  1005
  1006
  1007
  1008
  1009
  1010
  1011
  1012
  1014
  1015
  1016
  1017
  1018
  1019
  1020
  1021
  1022
  1023
  1024
  1025
  1026
  1027
  1028
  1029
  1030
  1031
  1032
  1033
  1034
  1035"
18,What are the ids of the students who do not own cats as pets?,"SELECT StuID 
FROM Student 
WHERE StuID NOT IN (
    SELECT StuID 
    FROM Has_Pet 
    JOIN Pets ON Has_Pet.PetID = Pets.PetID 
    WHERE PetType = 'cat'
);"," StuID
  1002
  1003
  1004
  1005
  1006
  1007
  1008
  1009
  1010
  1011
  1012
  1014
  1015
  1016
  1017
  1018
  1019
  1020
  1021
  1022
  1023
  1024
  1025
  1026
  1027
  1028
  1029
  1030
  1031
  1032
  1033
  1034
  1035"
19,Find the first name and age of students who have a dog but do not have a cat as a pet.,"SELECT Fname, Age
FROM Student
WHERE StuID IN (
    SELECT StuID
    FROM Has_Pet
    WHERE PetID IN (
        SELECT PetID
        FROM Pets
        WHERE PetType = 'Dog'
    )
)
AND StuID NOT IN (
    SELECT StuID
    FROM Has_Pet
    WHERE PetID IN (
        SELECT PetID
        FROM Pets
        WHERE PetType = 'Cat'
    )
);","Empty DataFrame
Columns: [Fname, Age]
Index: []"
20,What is the first name of every student who has a dog but does not have a cat?,"SELECT Fname
FROM Student
WHERE StuID IN (
    SELECT StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE PetType = 'dog'
) AND StuID NOT IN (
    SELECT StuID
    FROM Has_Pet
    JOIN Pets ON Has_Pet.PetID = Pets.PetID
    WHERE PetType = 'cat'
);","Fname
Tracy"
21,Find the type and weight of the youngest pet.,"SELECT PetType, weight 
FROM Pets 
ORDER BY pet_age ASC 
LIMIT 1;","PetType  weight
    dog     9.3"
22,"What type of pet is the youngest animal, and how much does it weigh?","SELECT PetType, weight
FROM Pets
WHERE pet_age = (SELECT MIN(pet_age) FROM Pets);","PetType  weight
    dog     9.3"
23,Find the id and weight of all pets whose age is older than 1.,"SELECT PetID, weight 
FROM Pets 
WHERE pet_age > 1;"," PetID  weight
  2001    12.0
  2002    13.4"
24,What is the id and weight of every pet who is older than 1?,"SELECT PetID, weight 
FROM Pets 
WHERE pet_age > 1;"," PetID  weight
  2001    12.0
  2002    13.4"
25,Find the average and maximum age for each type of pet.,"SELECT PetType, AVG(pet_age) AS AverageAge, MAX(pet_age) AS MaximumAge
FROM Pets
GROUP BY PetType;","PetType  AverageAge  MaximumAge
    cat         3.0           3
    dog         1.5           2"
26,What is the average and maximum age for each pet type?,"SELECT PetType, AVG(pet_age) AS AverageAge, MAX(pet_age) AS MaximumAge
FROM Pets
GROUP BY PetType;","PetType  AverageAge  MaximumAge
    cat         3.0           3
    dog         1.5           2"
27,Find the average weight for each pet type.,"SELECT PetType, AVG(weight) 
FROM Pets 
GROUP BY PetType;","PetType  AVG(weight)
    cat        12.00
    dog        11.35"
28,What is the average weight for each type of pet?,"SELECT PetType, AVG(weight) 
FROM Pets 
GROUP BY PetType;","PetType  AVG(weight)
    cat        12.00
    dog        11.35"
29,Find the first name and age of students who have a pet.,"SELECT Fname, Age 
FROM Student 
WHERE StuID IN (SELECT StuID FROM Has_Pet);","Fname  Age
Linda   18
Tracy   19"
30,What are the different first names and ages of the students who do have pets?,"SELECT DISTINCT Fname, Age 
FROM Student 
WHERE StuID IN (SELECT StuID FROM Has_Pet);","Fname  Age
Linda   18
Tracy   19"
31,Find the id of the pet owned by student whose last name is ‘Smith’.,"SELECT Has_Pet.PetID
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
WHERE Student.LName = 'Smith';"," PetID
  2001"
32,What is the id of the pet owned by the student whose last name is 'Smith'?,"SELECT Has_Pet.PetID
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
WHERE Student.LName = 'Smith';"," PetID
  2001"
33,Find the number of pets for each student who has any pet and student id.,"SELECT StuID, COUNT(PetID) AS NumberOfPets
FROM Has_Pet
GROUP BY StuID
HAVING COUNT(PetID) > 0;"," StuID  NumberOfPets
  1001             1
  1002             2"
34,"For students who have pets , how many pets does each student have ? list their ids instead of names .","SELECT StuID, COUNT(PetID) AS NumberOfPets
FROM Has_Pet
GROUP BY StuID;"," StuID  NumberOfPets
  1001             1
  1002             2"
35,Find the first name and gender of student who have more than one pet.,"SELECT Fname, Sex 
FROM Student 
WHERE StuID IN (
    SELECT StuID 
    FROM Has_Pet 
    GROUP BY StuID 
    HAVING COUNT(PetID) > 1
)","Fname Sex
Tracy   F"
36,What is the first name and gender of the all the students who have more than one pet?,"SELECT Fname, Sex 
FROM Student 
WHERE StuID IN (
    SELECT StuID 
    FROM Has_Pet 
    GROUP BY StuID 
    HAVING COUNT(PetID) > 1
)","Fname Sex
Tracy   F"
37,Find the last name of the student who has a cat that is age 3.,"SELECT LName 
FROM Student 
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID 
JOIN Pets ON Has_Pet.PetID = Pets.PetID 
WHERE Pets.PetType = 'cat' AND Pets.pet_age = 3;","LName
Smith"
38,What is the last name of the student who has a cat that is 3 years old?,"SELECT Student.LName
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Pets.PetType = 'cat' AND Pets.pet_age = 3;","LName
Smith"
39,Find the average age of students who do not have any pet .,"SELECT AVG(Student.Age) 
FROM Student 
LEFT JOIN Has_Pet ON Student.StuID = Has_Pet.StuID 
WHERE Has_Pet.StuID IS NULL;"," AVG(Student.Age)
           19.625"
