,Natural Language Query,Generated SQL Query,Result
10,Find id of the candidate who most recently accessed the course?,"SELECT candidate_id 
FROM Candidate_Assessments 
WHERE assessment_date = (SELECT MAX(assessment_date) FROM Candidate_Assessments);"," candidate_id
          121"
11,What is the id of the candidate who most recently accessed the course?,"SELECT candidate_id 
FROM Candidate_Assessments 
WHERE assessment_date = (SELECT MAX(assessment_date) FROM Candidate_Assessments);"," candidate_id
          121"
12,What is detail of the student who registered the most number of courses?,"SELECT first_name, middle_name, last_name, cell_mobile_number, email_address, login_name, student_details
FROM Students
JOIN People ON Students.student_id = People.person_id
WHERE student_id = (
    SELECT student_id
    FROM Student_Course_Registrations
    GROUP BY student_id
    ORDER BY COUNT(course_id) DESC
    LIMIT 1
)","first_name middle_name last_name cell_mobile_number           email_address login_name student_details
  Virginie      Jasmin  Hartmann  (508)319-2970x043 boyer.lonie@example.com       bkkv          Martin"
13,What are the details of the student who registered for the most number of courses?,"SELECT first_name, middle_name, last_name, cell_mobile_number, email_address, login_name, password
FROM People
WHERE person_id = (
  SELECT student_id
  FROM Student_Course_Registrations
  GROUP BY student_id
  ORDER BY COUNT(course_id) DESC
  LIMIT 1
)","first_name middle_name last_name cell_mobile_number           email_address login_name                                 password
  Virginie      Jasmin  Hartmann  (508)319-2970x043 boyer.lonie@example.com       bkkv b063331ea8116befaa7b84c59c6a22200f5f8caa"
14,List the id of students who registered some courses and the number of their registered courses?,"SELECT student_id, COUNT(course_id) AS number_of_courses
FROM Student_Course_Registrations
GROUP BY student_id;"," student_id  number_of_courses
        111                  1
        121                  2
        131                  1
        141                  2
        151                  1
        161                  1
        171                  1"
15,"For every student who is registered for some course, how many courses are they registered for?","SELECT student_id, COUNT(course_id) AS number_of_courses
FROM Student_Course_Registrations
GROUP BY student_id;"," student_id  number_of_courses
        111                  1
        121                  2
        131                  1
        141                  2
        151                  1
        161                  1
        171                  1"
16,How many registed students do each course have? List course name and the number of their registered students?,"SELECT course_name, COUNT(student_id) AS number_of_students
FROM Courses
JOIN Student_Course_Registrations ON Courses.course_id = Student_Course_Registrations.course_id
GROUP BY course_name;","   course_name  number_of_students
       English                   2
        French                   2
data structure                   1
    statistics                   4"
17,"For each course id, how many students are registered and what are the course names?","SELECT course_id, COUNT(student_id) AS number_of_students, course_name 
FROM Student_Course_Registrations 
JOIN Courses ON Student_Course_Registrations.course_id = Courses.course_id 
GROUP BY course_id, course_name;","An error occurred: Execution failed on sql 'SELECT course_id, COUNT(student_id) AS number_of_students, course_name 
FROM Student_Course_Registrations 
JOIN Courses ON Student_Course_Registrations.course_id = Courses.course_id 
GROUP BY course_id, course_name;': ambiguous column name: course_id"
18,"Find id of candidates whose assessment code is ""Pass""?","SELECT candidate_id 
FROM Candidate_Assessments 
WHERE asessment_outcome_code = 'Pass';"," candidate_id
          111
          121
          141
          151"
19,What are the ids of the candidates that have an outcome code of Pass?,"SELECT candidate_id 
FROM Candidate_Assessments 
WHERE asessment_outcome_code = 'Pass';"," candidate_id
          111
          121
          141
          151"
