transcript_id,video_id,video_name,text,start,finish
"transcript_video4_345_376","video4","Epic World History","Welcome to the podcast! Today, we're joined by renowned chef, Julia Martinez, who takes us on a culinary journey through the flavors of Spain. She shares her love for traditional Spanish dishes, from paella to tapas. Get ready to be inspired to cook your own Spanish delicacies at home as Julia provides tips and tricks to master these mouthwatering recipes.",345000,376000
"transcript_video4_387_456","video4","Epic World History","In this episode, we explore the world of mindfulness and meditation with mindfulness coach, David Johnson. Discover the many benefits of incorporating mindfulness practices into your daily life. From reducing stress and anxiety to enhancing focus and productivity, David shares practical tips for beginners and advanced practitioners alike.",387000,456000
"transcript_video4_475_501","video4","Epic World History","In this episode, we journey through history with historian, Dr. Robert Davis. We delve into fascinating historical events, figures, and periods that have shaped our world. From ancient civilizations to modern revolutions, history comes to life in this captivating conversation.",475000,501000
"transcript_video5_8_165","video5","Culinary Delights of Italy","In this episode, we journey through history with historian, Dr. Robert Davis. We delve into fascinating historical events, figures, and periods that have shaped our world. From ancient civilizations to modern revolutions, history comes to life in this captivating conversation.",8000,165000
"transcript_video5_173_323","video5","Culinary Delights of Italy","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",173000,323000
"transcript_video5_329_389","video5","Culinary Delights of Italy","Our guest today is Dr. Laura Adams, a clinical psychologist, who sheds light on the importance of mental health. We explore the stigma surrounding mental health issues, strategies for managing stress and anxiety, and the role of therapy in personal growth. Join us for an insightful conversation that promotes mental well-being.",329000,389000
"transcript_video6_8_35","video6","Wildlife Under the Sea","In this episode, we delve into the fascinating world of artificial intelligence. Our guest, Dr. Sarah Anderson, shares insights into the latest advancements in AI and its potential impact on various industries. We discuss the ethical considerations of AI, its applications in healthcare, and the future of AI research. Tune in to gain a deeper understanding of this transformative technology.",8000,35000
"transcript_video6_36_73","video6","Wildlife Under the Sea","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",36000,73000
"transcript_video6_77_125","video6","Wildlife Under the Sea","Welcome to the podcast! Today, we're joined by renowned chef, Julia Martinez, who takes us on a culinary journey through the flavors of Spain. She shares her love for traditional Spanish dishes, from paella to tapas. Get ready to be inspired to cook your own Spanish delicacies at home as Julia provides tips and tricks to master these mouthwatering recipes.",77000,125000
"transcript_video7_8_38","video7","Inspirational Stories of Resilience","In this episode, we explore the world of mindfulness and meditation with mindfulness coach, David Johnson. Discover the many benefits of incorporating mindfulness practices into your daily life. From reducing stress and anxiety to enhancing focus and productivity, David shares practical tips for beginners and advanced practitioners alike.",8000,38000
"transcript_video7_46_170","video7","Inspirational Stories of Resilience","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",46000,170000
"transcript_video7_177_318","video7","Inspirational Stories of Resilience","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",177000,318000
"transcript_video8_18_60","video8","The Universe Unveiled","Join us as we explore the world of photography with acclaimed photographer, Olivia Walker. We discuss the art of capturing moments, techniques for taking stunning photos, and the impact of visual storytelling. Whether you're a professional photographer or an amateur enthusiast, you'll find inspiration in this episode.",18000,60000
"transcript_video8_61_93","video8","The Universe Unveiled","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",61000,93000
"transcript_video8_113_120","video8","The Universe Unveiled","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",113000,120000
"transcript_video9_0_91","video9","Heartfelt Family Reunions","In this episode, we explore the world of mindfulness and meditation with mindfulness coach, David Johnson. Discover the many benefits of incorporating mindfulness practices into your daily life. From reducing stress and anxiety to enhancing focus and productivity, David shares practical tips for beginners and advanced practitioners alike.",0,91000
"transcript_video9_97_98","video9","Heartfelt Family Reunions","Have you ever dreamed of traveling the world? Travel blogger, Sarah Collins, shares her experiences and tips for globetrotters. From hidden gems to travel hacks, we cover it all. Whether you're planning your next adventure or simply love hearing travel stories, this episode will ignite your wanderlust.",97000,98000
"transcript_video9_113_185","video9","Heartfelt Family Reunions","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",113000,185000
"transcript_video9_199_266","video9","Heartfelt Family Reunions","Our guest today is Dr. Laura Adams, a clinical psychologist, who sheds light on the importance of mental health. We explore the stigma surrounding mental health issues, strategies for managing stress and anxiety, and the role of therapy in personal growth. Join us for an insightful conversation that promotes mental well-being.",199000,266000
"transcript_video10_18_301","video10","The Enchanted Forest","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",18000,301000
"transcript_video11_18_194","video11","Spectacular Sports Moments","Join us for a conversation with fitness expert, Mark Johnson, as we discuss the keys to a healthy lifestyle. Mark shares his expertise on exercise, nutrition, and maintaining a balanced life. Get ready to be inspired to take charge of your health and well-being.",18000,194000
"transcript_video11_209_300","video11","Spectacular Sports Moments","In this episode, we delve into the fascinating world of artificial intelligence. Our guest, Dr. Sarah Anderson, shares insights into the latest advancements in AI and its potential impact on various industries. We discuss the ethical considerations of AI, its applications in healthcare, and the future of AI research. Tune in to gain a deeper understanding of this transformative technology.",209000,300000
"transcript_video12_3_10","video12","Historical Love Stories","In this episode, we journey through history with historian, Dr. Robert Davis. We delve into fascinating historical events, figures, and periods that have shaped our world. From ancient civilizations to modern revolutions, history comes to life in this captivating conversation.",3000,10000
"transcript_video12_12_108","video12","Historical Love Stories","Have you ever dreamed of traveling the world? Travel blogger, Sarah Collins, shares her experiences and tips for globetrotters. From hidden gems to travel hacks, we cover it all. Whether you're planning your next adventure or simply love hearing travel stories, this episode will ignite your wanderlust.",12000,108000
"transcript_video13_16_354","video13","Crime Solvers: Unsolved Mysteries","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",16000,354000
"transcript_video13_369_393","video13","Crime Solvers: Unsolved Mysteries","Our guest today is Dr. Laura Adams, a clinical psychologist, who sheds light on the importance of mental health. We explore the stigma surrounding mental health issues, strategies for managing stress and anxiety, and the role of therapy in personal growth. Join us for an insightful conversation that promotes mental well-being.",369000,393000
"transcript_video13_396_430","video13","Crime Solvers: Unsolved Mysteries","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",396000,430000
"transcript_video14_0_436","video14","Architectural Wonders","In this episode, we explore the world of sustainable living with eco-entrepreneur, Lisa Davis. Discover eco-friendly practices, from reducing waste and conserving energy to embracing green technologies. We discuss the impact of climate change and the role of individuals in creating a more sustainable future.",0,436000
"transcript_video14_436_461","video14","Architectural Wonders","Ever wondered about the power of storytelling? In this episode, we sit down with award-winning author, James Thompson, who shares his experiences and insights into the world of literature. We discuss the art of crafting compelling narratives, his writing process, and the impact of storytelling on society. Whether you're an aspiring author or a book lover, this episode is a must-listen.",436000,461000
"transcript_video15_18_59","video15","A Journey Through Japan","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",18000,59000
"transcript_video15_68_121","video15","A Journey Through Japan","In this episode, we dive into the world of technology and innovation. Tech guru, Chris Wilson, discusses the latest gadgets, trends in the tech industry, and the impact of technology on our daily lives. Stay updated on the tech world with our insightful conversation.",68000,121000
"transcript_video16_0_335","video16","Laugh Out Loud Comedy Show","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",0,335000
"transcript_video16_348_373","video16","Laugh Out Loud Comedy Show","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",348000,373000
"transcript_video16_390_405","video16","Laugh Out Loud Comedy Show","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",390000,405000
"transcript_video16_419_436","video16","Laugh Out Loud Comedy Show","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",419000,436000
"transcript_video17_1_87","video17","Survival in the Wild","Ever wondered about the world of entrepreneurship? In this episode, we sit down with successful business owner, Alex Turner. From launching a startup to overcoming challenges, we explore the entrepreneurial journey. Whether you're an aspiring entrepreneur or simply curious about the business world, this episode offers valuable insights.",1000,87000
"transcript_video17_105_128","video17","Survival in the Wild","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",105000,128000
"transcript_video17_132_321","video17","Survival in the Wild","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",132000,321000
"transcript_video17_332_362","video17","Survival in the Wild","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",332000,362000
"transcript_video17_363_386","video17","Survival in the Wild","In 'Tech Trends,' we discuss the latest innovations in the world of technology. Our host, John Roberts, explores topics such as virtual reality, 5G networks, and the impact of technology on everyday life. Get ready for an insightful journey into the rapidly changing tech landscape.",363000,386000
"transcript_video18_7_106","video18","Epic Fantasy Adventures","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",7000,106000
"transcript_video18_125_347","video18","Epic Fantasy Adventures","In 'Tech Trends,' we discuss the latest innovations in the world of technology. Our host, John Roberts, explores topics such as virtual reality, 5G networks, and the impact of technology on everyday life. Get ready for an insightful journey into the rapidly changing tech landscape.",125000,347000
"transcript_video18_351_434","video18","Epic Fantasy Adventures","Join us for a conversation with fitness expert, Mark Johnson, as we discuss the keys to a healthy lifestyle. Mark shares his expertise on exercise, nutrition, and maintaining a balanced life. Get ready to be inspired to take charge of your health and well-being.",351000,434000
"transcript_video18_441_484","video18","Epic Fantasy Adventures","In 'Tech Trends,' we discuss the latest innovations in the world of technology. Our host, John Roberts, explores topics such as virtual reality, 5G networks, and the impact of technology on everyday life. Get ready for an insightful journey into the rapidly changing tech landscape.",441000,484000
"transcript_video18_494_501","video18","Epic Fantasy Adventures","In this episode, we dive into the world of technology and innovation. Tech guru, Chris Wilson, discusses the latest gadgets, trends in the tech industry, and the impact of technology on our daily lives. Stay updated on the tech world with our insightful conversation.",494000,501000
"transcript_video19_20_53","video19","Innovation and Technology Today","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",20000,53000
"transcript_video19_62_319","video19","Innovation and Technology Today","Our guest today is Dr. Laura Adams, a clinical psychologist, who sheds light on the importance of mental health. We explore the stigma surrounding mental health issues, strategies for managing stress and anxiety, and the role of therapy in personal growth. Join us for an insightful conversation that promotes mental well-being.",62000,319000
"transcript_video19_334_377","video19","Innovation and Technology Today","In this episode, we dive into the world of technology and innovation. Tech guru, Chris Wilson, discusses the latest gadgets, trends in the tech industry, and the impact of technology on our daily lives. Stay updated on the tech world with our insightful conversation.",334000,377000
"transcript_video19_395_435","video19","Innovation and Technology Today","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",395000,435000
"transcript_video20_15_73","video20","Mysteries of Ancient Egypt","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",15000,73000
"transcript_video21_12_63","video21","Inside the Human Mind","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",12000,63000
"transcript_video21_71_184","video21","Inside the Human Mind","In this episode, we dive into the world of technology and innovation. Tech guru, Chris Wilson, discusses the latest gadgets, trends in the tech industry, and the impact of technology on our daily lives. Stay updated on the tech world with our insightful conversation.",71000,184000
"transcript_video21_186_231","video21","Inside the Human Mind","In this episode, we dive into the world of technology and innovation. Tech guru, Chris Wilson, discusses the latest gadgets, trends in the tech industry, and the impact of technology on our daily lives. Stay updated on the tech world with our insightful conversation.",186000,231000
"transcript_video22_6_133","video22","Beautiful World Music","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",6000,133000
"transcript_video22_142_202","video22","Beautiful World Music","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",142000,202000
"transcript_video22_203_236","video22","Beautiful World Music","Ever wondered about the world of entrepreneurship? In this episode, we sit down with successful business owner, Alex Turner. From launching a startup to overcoming challenges, we explore the entrepreneurial journey. Whether you're an aspiring entrepreneur or simply curious about the business world, this episode offers valuable insights.",203000,236000
"transcript_video23_3_184","video23","Legal Battles in the Courtroom","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",3000,184000
"transcript_video23_187_305","video23","Legal Battles in the Courtroom","Our guest today is Dr. Laura Adams, a clinical psychologist, who sheds light on the importance of mental health. We explore the stigma surrounding mental health issues, strategies for managing stress and anxiety, and the role of therapy in personal growth. Join us for an insightful conversation that promotes mental well-being.",187000,305000
"transcript_video24_7_185","video24","A Taste of Home","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",7000,185000
"transcript_video24_190_250","video24","A Taste of Home","In this episode, we explore the world of mindfulness and meditation with mindfulness coach, David Johnson. Discover the many benefits of incorporating mindfulness practices into your daily life. From reducing stress and anxiety to enhancing focus and productivity, David shares practical tips for beginners and advanced practitioners alike.",190000,250000
"transcript_video24_270_295","video24","A Taste of Home","In this episode, we journey through history with historian, Dr. Robert Davis. We delve into fascinating historical events, figures, and periods that have shaped our world. From ancient civilizations to modern revolutions, history comes to life in this captivating conversation.",270000,295000
"transcript_video24_296_303","video24","A Taste of Home","In this episode, we journey through history with historian, Dr. Robert Davis. We delve into fascinating historical events, figures, and periods that have shaped our world. From ancient civilizations to modern revolutions, history comes to life in this captivating conversation.",296000,303000
"transcript_video25_5_178","video25","High-Stakes Heist Operation","Ever wondered about the power of storytelling? In this episode, we sit down with award-winning author, James Thompson, who shares his experiences and insights into the world of literature. We discuss the art of crafting compelling narratives, his writing process, and the impact of storytelling on society. Whether you're an aspiring author or a book lover, this episode is a must-listen.",5000,178000
"transcript_video25_192_204","video25","High-Stakes Heist Operation","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",192000,204000
"transcript_video26_0_169","video26","The Secrets of Science","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",0,169000
"transcript_video27_19_39","video27","Light-Hearted Romantic Comedy","Join us for a conversation with fitness expert, Mark Johnson, as we discuss the keys to a healthy lifestyle. Mark shares his expertise on exercise, nutrition, and maintaining a balanced life. Get ready to be inspired to take charge of your health and well-being.",19000,39000
"transcript_video27_49_100","video27","Light-Hearted Romantic Comedy","Our guest today is Dr. Laura Adams, a clinical psychologist, who sheds light on the importance of mental health. We explore the stigma surrounding mental health issues, strategies for managing stress and anxiety, and the role of therapy in personal growth. Join us for an insightful conversation that promotes mental well-being.",49000,100000
"transcript_video27_113_201","video27","Light-Hearted Romantic Comedy","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",113000,201000
"transcript_video27_202_292","video27","Light-Hearted Romantic Comedy","Ever wondered about the world of entrepreneurship? In this episode, we sit down with successful business owner, Alex Turner. From launching a startup to overcoming challenges, we explore the entrepreneurial journey. Whether you're an aspiring entrepreneur or simply curious about the business world, this episode offers valuable insights.",202000,292000
"transcript_video27_301_303","video27","Light-Hearted Romantic Comedy","Are you a book lover? If so, you won't want to miss this episode of 'Bookworm's Paradise.' Join our host, Emma Taylor, as she reviews some of the most captivating books of the year. From thrilling mysteries to heartwarming romances, we've got something for every reader.",301000,303000
"transcript_video27_314_316","video27","Light-Hearted Romantic Comedy","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",314000,316000
"transcript_video27_320_327","video27","Light-Hearted Romantic Comedy","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",320000,327000
"transcript_video28_20_340","video28","Edge of Your Seat Thrillers","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",20000,340000
"transcript_video28_352_471","video28","Edge of Your Seat Thrillers","In this episode, we explore the world of sustainable living with eco-entrepreneur, Lisa Davis. Discover eco-friendly practices, from reducing waste and conserving energy to embracing green technologies. We discuss the impact of climate change and the role of individuals in creating a more sustainable future.",352000,471000
"transcript_video28_473_492","video28","Edge of Your Seat Thrillers","Join us as we travel back in time to explore ancient civilizations. Dr. Emily Roberts, an archaeologist, guides us through the mysteries of ancient Egypt. Learn about the construction of the pyramids, deciphering hieroglyphics, and the daily life of the pharaohs. Get ready to embark on a historical adventure like no other.",473000,492000
"transcript_video29_8_162","video29","Exploring World Art","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",8000,162000
"transcript_video29_164_297","video29","Exploring World Art","In this episode, we explore the world of sustainable living with eco-entrepreneur, Lisa Davis. Discover eco-friendly practices, from reducing waste and conserving energy to embracing green technologies. We discuss the impact of climate change and the role of individuals in creating a more sustainable future.",164000,297000
"transcript_video29_312_336","video29","Exploring World Art","Travel back in time with archaeologist, Sarah Turner, as we uncover the mysteries of ancient Rome. Learn about the architecture, culture, and daily life of this iconic civilization. If you're a history enthusiast or simply curious about the past, this episode is a treasure trove of knowledge.",312000,336000
"transcript_video29_339_360","video29","Exploring World Art","In this episode, we explore the world of mindfulness and meditation with mindfulness coach, David Johnson. Discover the many benefits of incorporating mindfulness practices into your daily life. From reducing stress and anxiety to enhancing focus and productivity, David shares practical tips for beginners and advanced practitioners alike.",339000,360000
"transcript_video30_14_192","video30","Green Earth: Sustainable Living","Discover the world of culinary delights in 'Taste of Culture.' In this episode, our chef, Carlos Rodriguez, takes you on a culinary journey to explore international cuisines. From spicy curries to delicate pastries, you'll experience a symphony of flavors from around the globe.",14000,192000
"transcript_video30_205_208","video30","Green Earth: Sustainable Living","In this episode, we explore the world of sustainable living with eco-entrepreneur, Lisa Davis. Discover eco-friendly practices, from reducing waste and conserving energy to embracing green technologies. We discuss the impact of climate change and the role of individuals in creating a more sustainable future.",205000,208000
"transcript_video31_15_54","video31","Ancient Myths and Legends","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",15000,54000
"transcript_video32_1_52","video32","The Quest for Adventure","In 'Tech Trends,' we discuss the latest innovations in the world of technology. Our host, John Roberts, explores topics such as virtual reality, 5G networks, and the impact of technology on everyday life. Get ready for an insightful journey into the rapidly changing tech landscape.",1000,52000
"transcript_video32_59_385","video32","The Quest for Adventure","Welcome to a journey through the cosmos! Dr. John Parker, an astrophysicist, takes us on a thrilling adventure to explore the mysteries of the universe. We discuss black holes, the search for extraterrestrial life, and the latest breakthroughs in space exploration. Prepare to be amazed by the wonders of the cosmos.",59000,385000
"transcript_video32_396_431","video32","The Quest for Adventure","Welcome to a new episode of 'Exploring Nature.' Join us as we embark on an adventure through the Amazon Rainforest. Our guide, Maria Hernandez, introduces us to the diverse wildlife and rich biodiversity of this unique ecosystem. Learn about the conservation efforts to protect this vital part of our planet.",396000,431000
"transcript_video32_438_493","video32","The Quest for Adventure","Welcome to a world of creativity! Join us for an inspiring chat with renowned artist, Emma Turner. Emma shares her artistic journey, from her early beginnings to her latest projects. Discover the power of artistic expression and the beauty of visual storytelling.",438000,493000
"transcript_video33_10_125","video33","Emotional Human Journeys","Have you ever dreamed of traveling the world? Travel blogger, Sarah Collins, shares her experiences and tips for globetrotters. From hidden gems to travel hacks, we cover it all. Whether you're planning your next adventure or simply love hearing travel stories, this episode will ignite your wanderlust.",10000,125000
"transcript_video33_144_162","video33","Emotional Human Journeys","In this episode, we dive into the world of technology and innovation. Tech guru, Chris Wilson, discusses the latest gadgets, trends in the tech industry, and the impact of technology on our daily lives. Stay updated on the tech world with our insightful conversation.",144000,162000
