episode_id,podcast_id,podcast_name,user_id,video_name,reaction,comment,shares,impressions,engagement_timestamp
episode_video29,podcast7,Historical Mysteries,user10,Exploring World Art,negative,The practical tips in this video will definitely come in handy.,7,4,218000
episode_video2,podcast0,Tech Talk Daily,user5,Saving Endangered Species,neutral,I learned something new today. Thanks for the informative video!,0,3,94000
episode_video9,podcast1,Business Buzz,user7,Heartfelt Family Reunions,positive,I can't believe I've been missing out on this content. Subscribed!,4,6,49000
episode_video13,podcast1,Business Buzz,user10,Crime Solvers: Unsolved Mysteries,neutral,I learned something new today. Thanks for the informative video!,9,10,413000
episode_video25,podcast4,Planet Earth Unplugged,user19,High-Stakes Heist Operation,positive,This video explained the concept so clearly. I finally get it!,6,6,101000
episode_video25,podcast4,Planet Earth Unplugged,user17,High-Stakes Heist Operation,positive,"I watched this video twice, it's that good! Kudos to the creator.",4,2,40000
episode_video10,podcast1,Business Buzz,user5,The Enchanted Forest,negative,This video explained the concept so clearly. I finally get it!,3,5,61000
episode_video39,podcast9,Career Insights,user4,Epic Space Exploration,neutral,"I shared this video with my friends, it's too good to keep to myself.",6,9,144000
episode_video19,podcast2,True Crime Chronicles,user16,Innovation and Technology Today,negative,This video explained the concept so clearly. I finally get it!,6,2,205000
episode_video9,podcast1,Business Buzz,user10,Heartfelt Family Reunions,positive,I learned something new today. Thanks for the informative video!,4,1,34000
episode_video16,podcast2,True Crime Chronicles,user1,Laugh Out Loud Comedy Show,positive,"The comments section brought me here, and I'm not disappointed.",8,8,67000
episode_video29,podcast7,Historical Mysteries,user3,Exploring World Art,positive,I can't believe I've been missing out on this content. Subscribed!,8,4,379000
episode_video23,podcast3,Mindful Living,user18,Legal Battles in the Courtroom,neutral,I appreciate the effort put into making this video. Well done!,8,6,224000
episode_video0,podcast0,Tech Talk Daily,user8,Exploring the Amazon Rainforest,positive,"I shared this video with my friends, it's too good to keep to myself.",7,0,450000
episode_video30,podcast7,Historical Mysteries,user12,Green Earth: Sustainable Living,negative,"The comments section brought me here, and I'm not disappointed.",10,7,88000
episode_video23,podcast3,Mindful Living,user1,Legal Battles in the Courtroom,negative,The presenter's sense of humor made this video enjoyable and fun.,6,2,276000
episode_video25,podcast4,Planet Earth Unplugged,user4,High-Stakes Heist Operation,negative,The visuals in this video were amazing. I was glued to the screen.,2,8,179000
episode_video30,podcast7,Historical Mysteries,user2,Green Earth: Sustainable Living,negative,This video explained the concept so clearly. I finally get it!,5,9,146000
episode_video28,podcast6,The Comedy Corner,user10,Edge of Your Seat Thrillers,negative,The practical tips in this video will definitely come in handy.,8,10,355000
episode_video17,podcast2,True Crime Chronicles,user18,Survival in the Wild,positive,The practical tips in this video will definitely come in handy.,3,9,132000
episode_video6,podcast0,Tech Talk Daily,user9,Wildlife Under the Sea,neutral,The visuals in this video were amazing. I was glued to the screen.,8,8,95000
episode_video7,podcast0,Tech Talk Daily,user5,Inspirational Stories of Resilience,negative,I appreciate the effort put into making this video. Well done!,5,2,1000
episode_video7,podcast0,Tech Talk Daily,user11,Inspirational Stories of Resilience,neutral,I can't believe I've been missing out on this content. Subscribed!,4,0,270000
episode_video33,podcast8,Fictional Worlds,user5,Emotional Human Journeys,positive,The visuals in this video were amazing. I was glued to the screen.,1,7,128000
episode_video7,podcast0,Tech Talk Daily,user10,Inspirational Stories of Resilience,positive,The presenter's sense of humor made this video enjoyable and fun.,8,2,36000
episode_video5,podcast0,Tech Talk Daily,user15,Culinary Delights of Italy,positive,"I shared this video with my friends, it's too good to keep to myself.",6,8,93000
episode_video0,podcast0,Tech Talk Daily,user7,Exploring the Amazon Rainforest,positive,I learned something new today. Thanks for the informative video!,7,2,159000
episode_video1,podcast0,Tech Talk Daily,user18,The Quest for Mars,positive,I appreciate the effort put into making this video. Well done!,7,0,91000
episode_video33,podcast8,Fictional Worlds,user19,Emotional Human Journeys,positive,This video explained the concept so clearly. I finally get it!,0,1,6000
episode_video5,podcast0,Tech Talk Daily,user12,Culinary Delights of Italy,positive,I can't believe I've been missing out on this content. Subscribed!,3,10,204000
episode_video19,podcast2,True Crime Chronicles,user7,Innovation and Technology Today,neutral,The presenter's sense of humor made this video enjoyable and fun.,4,1,136000
episode_video28,podcast6,The Comedy Corner,user8,Edge of Your Seat Thrillers,neutral,The practical tips in this video will definitely come in handy.,5,4,191000
episode_video37,podcast8,Fictional Worlds,user2,The Music of Nature,positive,"The comments section brought me here, and I'm not disappointed.",6,7,249000
episode_video6,podcast0,Tech Talk Daily,user0,Wildlife Under the Sea,negative,"I shared this video with my friends, it's too good to keep to myself.",4,8,33000
episode_video28,podcast6,The Comedy Corner,user11,Edge of Your Seat Thrillers,positive,The practical tips in this video will definitely come in handy.,4,1,92000
episode_video16,podcast2,True Crime Chronicles,user14,Laugh Out Loud Comedy Show,positive,The presenter's sense of humor made this video enjoyable and fun.,10,8,437000
episode_video28,podcast6,The Comedy Corner,user11,Edge of Your Seat Thrillers,positive,This video explained the concept so clearly. I finally get it!,5,10,508000
episode_video12,podcast1,Business Buzz,user17,Historical Love Stories,positive,"I shared this video with my friends, it's too good to keep to myself.",6,4,13000
episode_video28,podcast6,The Comedy Corner,user4,Edge of Your Seat Thrillers,neutral,I learned something new today. Thanks for the informative video!,8,10,503000
episode_video15,podcast2,True Crime Chronicles,user14,A Journey Through Japan,positive,This video explained the concept so clearly. I finally get it!,10,7,87000
episode_video17,podcast2,True Crime Chronicles,user4,Survival in the Wild,negative,I appreciate the effort put into making this video. Well done!,1,8,327000
episode_video19,podcast2,True Crime Chronicles,user11,Innovation and Technology Today,neutral,"I watched this video twice, it's that good! Kudos to the creator.",3,5,374000
episode_video6,podcast0,Tech Talk Daily,user1,Wildlife Under the Sea,positive,I can't believe I've been missing out on this content. Subscribed!,2,5,79000
episode_video5,podcast0,Tech Talk Daily,user13,Culinary Delights of Italy,neutral,The presenter's sense of humor made this video enjoyable and fun.,9,7,382000
episode_video5,podcast0,Tech Talk Daily,user14,Culinary Delights of Italy,negative,I can't believe I've been missing out on this content. Subscribed!,2,10,391000
episode_video30,podcast7,Historical Mysteries,user4,Green Earth: Sustainable Living,positive,"I watched this video twice, it's that good! Kudos to the creator.",8,7,111000
episode_video12,podcast1,Business Buzz,user5,Historical Love Stories,negative,I can't believe I've been missing out on this content. Subscribed!,10,9,33000
episode_video5,podcast0,Tech Talk Daily,user17,Culinary Delights of Italy,neutral,The visuals in this video were amazing. I was glued to the screen.,8,5,43000
episode_video14,podcast2,True Crime Chronicles,user9,Architectural Wonders,positive,"The comments section brought me here, and I'm not disappointed.",5,2,382000
episode_video32,podcast7,Historical Mysteries,user13,The Quest for Adventure,negative,The practical tips in this video will definitely come in handy.,2,5,440000
episode_video13,podcast1,Business Buzz,user0,Crime Solvers: Unsolved Mysteries,negative,The practical tips in this video will definitely come in handy.,9,7,330000
episode_video2,podcast0,Tech Talk Daily,user4,Saving Endangered Species,neutral,"I shared this video with my friends, it's too good to keep to myself.",1,0,186000
episode_video5,podcast0,Tech Talk Daily,user15,Culinary Delights of Italy,neutral,The practical tips in this video will definitely come in handy.,9,8,320000
episode_video33,podcast8,Fictional Worlds,user19,Emotional Human Journeys,positive,The presenter's sense of humor made this video enjoyable and fun.,1,0,46000
episode_video39,podcast9,Career Insights,user17,Epic Space Exploration,negative,The practical tips in this video will definitely come in handy.,4,0,98000
episode_video28,podcast6,The Comedy Corner,user13,Edge of Your Seat Thrillers,negative,I learned something new today. Thanks for the informative video!,6,10,35000
episode_video35,podcast8,Fictional Worlds,user8,A World of Science,positive,The practical tips in this video will definitely come in handy.,7,9,232000
episode_video23,podcast3,Mindful Living,user18,Legal Battles in the Courtroom,neutral,I learned something new today. Thanks for the informative video!,10,4,153000
episode_video30,podcast7,Historical Mysteries,user4,Green Earth: Sustainable Living,negative,"The comments section brought me here, and I'm not disappointed.",3,7,7000
episode_video39,podcast9,Career Insights,user18,Epic Space Exploration,positive,"I shared this video with my friends, it's too good to keep to myself.",9,1,203000
episode_video28,podcast6,The Comedy Corner,user16,Edge of Your Seat Thrillers,positive,The presenter's sense of humor made this video enjoyable and fun.,6,10,416000
episode_video27,podcast5,Foodie Adventures,user13,Light-Hearted Romantic Comedy,neutral,I can't believe I've been missing out on this content. Subscribed!,0,5,318000
episode_video12,podcast1,Business Buzz,user17,Historical Love Stories,positive,I learned something new today. Thanks for the informative video!,3,1,25000
episode_video35,podcast8,Fictional Worlds,user10,A World of Science,negative,I learned something new today. Thanks for the informative video!,10,4,292000
episode_video6,podcast0,Tech Talk Daily,user10,Wildlife Under the Sea,positive,"I shared this video with my friends, it's too good to keep to myself.",8,0,88000
episode_video11,podcast1,Business Buzz,user7,Spectacular Sports Moments,positive,I appreciate the effort put into making this video. Well done!,6,3,110000
episode_video14,podcast2,True Crime Chronicles,user9,Architectural Wonders,neutral,The practical tips in this video will definitely come in handy.,1,3,347000
episode_video31,podcast7,Historical Mysteries,user6,Ancient Myths and Legends,positive,"The comments section brought me here, and I'm not disappointed.",5,6,1000
episode_video35,podcast8,Fictional Worlds,user15,A World of Science,negative,"I shared this video with my friends, it's too good to keep to myself.",4,8,1000
episode_video32,podcast7,Historical Mysteries,user19,The Quest for Adventure,negative,I learned something new today. Thanks for the informative video!,2,6,289000
episode_video39,podcast9,Career Insights,user2,Epic Space Exploration,positive,The visuals in this video were amazing. I was glued to the screen.,10,10,15000
episode_video36,podcast8,Fictional Worlds,user9,Hilarious Sitcom Classics,neutral,I appreciate the effort put into making this video. Well done!,1,1,143000
episode_video14,podcast2,True Crime Chronicles,user10,Architectural Wonders,positive,I can't believe I've been missing out on this content. Subscribed!,9,9,347000
episode_video2,podcast0,Tech Talk Daily,user18,Saving Endangered Species,neutral,The practical tips in this video will definitely come in handy.,3,7,99000
episode_video13,podcast1,Business Buzz,user18,Crime Solvers: Unsolved Mysteries,neutral,"I shared this video with my friends, it's too good to keep to myself.",8,10,49000
episode_video31,podcast7,Historical Mysteries,user10,Ancient Myths and Legends,positive,I appreciate the effort put into making this video. Well done!,5,3,65000
episode_video34,podcast8,Fictional Worlds,user5,Mind-Bending Thrillers,negative,I can't believe I've been missing out on this content. Subscribed!,2,10,130000
episode_video4,podcast0,Tech Talk Daily,user9,Epic World History,positive,I appreciate the effort put into making this video. Well done!,7,7,442000
episode_video38,podcast9,Career Insights,user1,Planet Earth's Beauty,positive,"I watched this video twice, it's that good! Kudos to the creator.",10,0,41000
episode_video4,podcast0,Tech Talk Daily,user6,Epic World History,negative,The presenter's sense of humor made this video enjoyable and fun.,6,10,353000
episode_video33,podcast8,Fictional Worlds,user6,Emotional Human Journeys,negative,The practical tips in this video will definitely come in handy.,5,10,143000
episode_video31,podcast7,Historical Mysteries,user13,Ancient Myths and Legends,neutral,I appreciate the effort put into making this video. Well done!,0,9,52000
episode_video16,podcast2,True Crime Chronicles,user14,Laugh Out Loud Comedy Show,neutral,"The comments section brought me here, and I'm not disappointed.",0,6,70000
episode_video27,podcast5,Foodie Adventures,user2,Light-Hearted Romantic Comedy,positive,I can't believe I've been missing out on this content. Subscribed!,1,2,82000
episode_video6,podcast0,Tech Talk Daily,user8,Wildlife Under the Sea,neutral,"I shared this video with my friends, it's too good to keep to myself.",2,2,13000
episode_video13,podcast1,Business Buzz,user18,Crime Solvers: Unsolved Mysteries,positive,I learned something new today. Thanks for the informative video!,10,5,58000
episode_video20,podcast3,Mindful Living,user10,Mysteries of Ancient Egypt,negative,I learned something new today. Thanks for the informative video!,3,5,14000
episode_video36,podcast8,Fictional Worlds,user2,Hilarious Sitcom Classics,negative,I can't believe I've been missing out on this content. Subscribed!,3,10,89000
episode_video27,podcast5,Foodie Adventures,user16,Light-Hearted Romantic Comedy,positive,I appreciate the effort put into making this video. Well done!,10,8,326000
episode_video6,podcast0,Tech Talk Daily,user3,Wildlife Under the Sea,negative,The visuals in this video were amazing. I was glued to the screen.,6,0,18000
episode_video36,podcast8,Fictional Worlds,user13,Hilarious Sitcom Classics,positive,The presenter's sense of humor made this video enjoyable and fun.,5,6,53000
episode_video35,podcast8,Fictional Worlds,user15,A World of Science,negative,I learned something new today. Thanks for the informative video!,2,3,230000
episode_video27,podcast5,Foodie Adventures,user5,Light-Hearted Romantic Comedy,positive,I appreciate the effort put into making this video. Well done!,10,10,146000
episode_video24,podcast4,Planet Earth Unplugged,user16,A Taste of Home,positive,The practical tips in this video will definitely come in handy.,4,10,138000
episode_video36,podcast8,Fictional Worlds,user18,Hilarious Sitcom Classics,neutral,This video explained the concept so clearly. I finally get it!,6,0,154000
episode_video35,podcast8,Fictional Worlds,user16,A World of Science,negative,I can't believe I've been missing out on this content. Subscribed!,7,0,352000
episode_video2,podcast0,Tech Talk Daily,user7,Saving Endangered Species,negative,The practical tips in this video will definitely come in handy.,5,4,113000
episode_video34,podcast8,Fictional Worlds,user19,Mind-Bending Thrillers,positive,The presenter's sense of humor made this video enjoyable and fun.,9,3,177000
episode_video32,podcast7,Historical Mysteries,user0,The Quest for Adventure,positive,This video explained the concept so clearly. I finally get it!,3,7,269000
episode_video17,podcast2,True Crime Chronicles,user10,Survival in the Wild,neutral,"I watched this video twice, it's that good! Kudos to the creator.",0,10,300000
episode_video21,podcast3,Mindful Living,user0,Inside the Human Mind,negative,"I shared this video with my friends, it's too good to keep to myself.",8,5,35000
episode_video7,podcast0,Tech Talk Daily,user3,Inspirational Stories of Resilience,negative,This video explained the concept so clearly. I finally get it!,7,1,218000
episode_video24,podcast4,Planet Earth Unplugged,user12,A Taste of Home,negative,"The comments section brought me here, and I'm not disappointed.",0,8,45000
episode_video17,podcast2,True Crime Chronicles,user6,Survival in the Wild,negative,"I shared this video with my friends, it's too good to keep to myself.",1,1,366000
episode_video12,podcast1,Business Buzz,user10,Historical Love Stories,neutral,"I watched this video twice, it's that good! Kudos to the creator.",3,1,39000
episode_video24,podcast4,Planet Earth Unplugged,user6,A Taste of Home,positive,The visuals in this video were amazing. I was glued to the screen.,6,1,140000
episode_video11,podcast1,Business Buzz,user0,Spectacular Sports Moments,positive,"The comments section brought me here, and I'm not disappointed.",10,6,120000
episode_video20,podcast3,Mindful Living,user9,Mysteries of Ancient Egypt,neutral,The practical tips in this video will definitely come in handy.,4,10,15000
episode_video9,podcast1,Business Buzz,user9,Heartfelt Family Reunions,neutral,I appreciate the effort put into making this video. Well done!,2,5,11000
episode_video39,podcast9,Career Insights,user5,Epic Space Exploration,negative,The practical tips in this video will definitely come in handy.,5,8,70000
episode_video11,podcast1,Business Buzz,user11,Spectacular Sports Moments,neutral,The presenter's sense of humor made this video enjoyable and fun.,3,6,156000
episode_video4,podcast0,Tech Talk Daily,user14,Epic World History,negative,This video explained the concept so clearly. I finally get it!,1,7,280000
episode_video27,podcast5,Foodie Adventures,user11,Light-Hearted Romantic Comedy,negative,The visuals in this video were amazing. I was glued to the screen.,9,2,124000
episode_video38,podcast9,Career Insights,user12,Planet Earth's Beauty,negative,The practical tips in this video will definitely come in handy.,8,9,85000
episode_video19,podcast2,True Crime Chronicles,user6,Innovation and Technology Today,neutral,The presenter's sense of humor made this video enjoyable and fun.,5,4,43000
episode_video23,podcast3,Mindful Living,user12,Legal Battles in the Courtroom,neutral,The practical tips in this video will definitely come in handy.,10,6,43000
episode_video9,podcast1,Business Buzz,user11,Heartfelt Family Reunions,neutral,The visuals in this video were amazing. I was glued to the screen.,7,2,111000
episode_video35,podcast8,Fictional Worlds,user16,A World of Science,negative,"I shared this video with my friends, it's too good to keep to myself.",7,6,19000
episode_video18,podcast2,True Crime Chronicles,user19,Epic Fantasy Adventures,neutral,This video explained the concept so clearly. I finally get it!,0,8,344000
episode_video2,podcast0,Tech Talk Daily,user13,Saving Endangered Species,negative,This video explained the concept so clearly. I finally get it!,1,9,10000
episode_video1,podcast0,Tech Talk Daily,user0,The Quest for Mars,negative,I can't believe I've been missing out on this content. Subscribed!,10,1,317000
episode_video4,podcast0,Tech Talk Daily,user16,Epic World History,neutral,I appreciate the effort put into making this video. Well done!,6,5,450000
episode_video19,podcast2,True Crime Chronicles,user12,Innovation and Technology Today,negative,I appreciate the effort put into making this video. Well done!,4,9,94000
episode_video9,podcast1,Business Buzz,user14,Heartfelt Family Reunions,negative,"The comments section brought me here, and I'm not disappointed.",8,10,193000
episode_video17,podcast2,True Crime Chronicles,user0,Survival in the Wild,neutral,This video explained the concept so clearly. I finally get it!,0,6,358000
episode_video22,podcast3,Mindful Living,user3,Beautiful World Music,negative,The practical tips in this video will definitely come in handy.,6,8,106000
episode_video26,podcast4,Planet Earth Unplugged,user16,The Secrets of Science,neutral,I appreciate the effort put into making this video. Well done!,7,3,170000
episode_video31,podcast7,Historical Mysteries,user19,Ancient Myths and Legends,negative,I appreciate the effort put into making this video. Well done!,4,9,38000
episode_video14,podcast2,True Crime Chronicles,user19,Architectural Wonders,positive,The visuals in this video were amazing. I was glued to the screen.,1,0,25000
episode_video39,podcast9,Career Insights,user8,Epic Space Exploration,positive,I can't believe I've been missing out on this content. Subscribed!,6,6,37000
episode_video37,podcast8,Fictional Worlds,user16,The Music of Nature,negative,I can't believe I've been missing out on this content. Subscribed!,0,10,71000
episode_video28,podcast6,The Comedy Corner,user15,Edge of Your Seat Thrillers,negative,The practical tips in this video will definitely come in handy.,3,4,11000
episode_video16,podcast2,True Crime Chronicles,user17,Laugh Out Loud Comedy Show,positive,"I watched this video twice, it's that good! Kudos to the creator.",4,5,385000
episode_video2,podcast0,Tech Talk Daily,user4,Saving Endangered Species,neutral,I appreciate the effort put into making this video. Well done!,6,4,30000
episode_video23,podcast3,Mindful Living,user16,Legal Battles in the Courtroom,negative,The presenter's sense of humor made this video enjoyable and fun.,7,4,198000
episode_video35,podcast8,Fictional Worlds,user19,A World of Science,neutral,"I shared this video with my friends, it's too good to keep to myself.",7,5,243000
episode_video20,podcast3,Mindful Living,user8,Mysteries of Ancient Egypt,negative,I learned something new today. Thanks for the informative video!,4,2,63000
episode_video26,podcast4,Planet Earth Unplugged,user13,The Secrets of Science,neutral,The practical tips in this video will definitely come in handy.,2,4,156000
episode_video30,podcast7,Historical Mysteries,user10,Green Earth: Sustainable Living,negative,"The comments section brought me here, and I'm not disappointed.",10,0,43000
episode_video32,podcast7,Historical Mysteries,user6,The Quest for Adventure,neutral,The practical tips in this video will definitely come in handy.,2,9,190000
episode_video6,podcast0,Tech Talk Daily,user2,Wildlife Under the Sea,negative,This video explained the concept so clearly. I finally get it!,5,9,109000
episode_video4,podcast0,Tech Talk Daily,user8,Epic World History,negative,"I shared this video with my friends, it's too good to keep to myself.",5,6,155000
episode_video3,podcast0,Tech Talk Daily,user18,The Art of Filmmaking,positive,I learned something new today. Thanks for the informative video!,4,5,464000
episode_video32,podcast7,Historical Mysteries,user10,The Quest for Adventure,negative,The practical tips in this video will definitely come in handy.,10,5,391000
episode_video15,podcast2,True Crime Chronicles,user13,A Journey Through Japan,negative,The presenter's sense of humor made this video enjoyable and fun.,0,5,70000
episode_video29,podcast7,Historical Mysteries,user11,Exploring World Art,neutral,I learned something new today. Thanks for the informative video!,9,6,313000
episode_video1,podcast0,Tech Talk Daily,user0,The Quest for Mars,negative,The practical tips in this video will definitely come in handy.,0,4,25000
episode_video13,podcast1,Business Buzz,user6,Crime Solvers: Unsolved Mysteries,positive,"I shared this video with my friends, it's too good to keep to myself.",8,8,236000
episode_video31,podcast7,Historical Mysteries,user5,Ancient Myths and Legends,negative,The presenter's sense of humor made this video enjoyable and fun.,2,9,24000
episode_video7,podcast0,Tech Talk Daily,user16,Inspirational Stories of Resilience,neutral,I learned something new today. Thanks for the informative video!,5,8,11000
episode_video21,podcast3,Mindful Living,user2,Inside the Human Mind,negative,The visuals in this video were amazing. I was glued to the screen.,2,10,31000
episode_video5,podcast0,Tech Talk Daily,user19,Culinary Delights of Italy,positive,The visuals in this video were amazing. I was glued to the screen.,9,9,181000
episode_video16,podcast2,True Crime Chronicles,user1,Laugh Out Loud Comedy Show,neutral,The presenter's sense of humor made this video enjoyable and fun.,7,5,13000
episode_video14,podcast2,True Crime Chronicles,user19,Architectural Wonders,positive,The practical tips in this video will definitely come in handy.,8,3,353000
episode_video28,podcast6,The Comedy Corner,user4,Edge of Your Seat Thrillers,positive,"The comments section brought me here, and I'm not disappointed.",0,10,202000
episode_video4,podcast0,Tech Talk Daily,user0,Epic World History,positive,"The comments section brought me here, and I'm not disappointed.",7,8,128000
episode_video8,podcast1,Business Buzz,user16,The Universe Unveiled,neutral,"I shared this video with my friends, it's too good to keep to myself.",7,8,75000
episode_video19,podcast2,True Crime Chronicles,user6,Innovation and Technology Today,positive,"The comments section brought me here, and I'm not disappointed.",7,3,366000
episode_video12,podcast1,Business Buzz,user11,Historical Love Stories,positive,I appreciate the effort put into making this video. Well done!,7,7,106000
episode_video8,podcast1,Business Buzz,user5,The Universe Unveiled,positive,This video explained the concept so clearly. I finally get it!,2,3,112000
episode_video27,podcast5,Foodie Adventures,user0,Light-Hearted Romantic Comedy,negative,I learned something new today. Thanks for the informative video!,8,8,252000
episode_video28,podcast6,The Comedy Corner,user15,Edge of Your Seat Thrillers,positive,This video explained the concept so clearly. I finally get it!,10,9,301000
episode_video2,podcast0,Tech Talk Daily,user7,Saving Endangered Species,negative,"I shared this video with my friends, it's too good to keep to myself.",5,1,60000
episode_video3,podcast0,Tech Talk Daily,user6,The Art of Filmmaking,neutral,The visuals in this video were amazing. I was glued to the screen.,10,1,115000
episode_video17,podcast2,True Crime Chronicles,user17,Survival in the Wild,positive,The practical tips in this video will definitely come in handy.,5,9,196000
episode_video31,podcast7,Historical Mysteries,user6,Ancient Myths and Legends,negative,"I watched this video twice, it's that good! Kudos to the creator.",1,7,49000
episode_video5,podcast0,Tech Talk Daily,user8,Culinary Delights of Italy,negative,The presenter's sense of humor made this video enjoyable and fun.,8,10,77000
episode_video33,podcast8,Fictional Worlds,user14,Emotional Human Journeys,neutral,I appreciate the effort put into making this video. Well done!,2,6,63000
episode_video10,podcast1,Business Buzz,user7,The Enchanted Forest,negative,The visuals in this video were amazing. I was glued to the screen.,7,2,295000
episode_video6,podcast0,Tech Talk Daily,user8,Wildlife Under the Sea,positive,I appreciate the effort put into making this video. Well done!,9,10,112000
episode_video12,podcast1,Business Buzz,user17,Historical Love Stories,positive,"The comments section brought me here, and I'm not disappointed.",5,9,104000
episode_video26,podcast4,Planet Earth Unplugged,user2,The Secrets of Science,neutral,I can't believe I've been missing out on this content. Subscribed!,2,3,33000
episode_video39,podcast9,Career Insights,user9,Epic Space Exploration,negative,"I shared this video with my friends, it's too good to keep to myself.",8,8,267000
episode_video12,podcast1,Business Buzz,user4,Historical Love Stories,neutral,"The comments section brought me here, and I'm not disappointed.",6,1,54000
episode_video38,podcast9,Career Insights,user15,Planet Earth's Beauty,negative,The practical tips in this video will definitely come in handy.,4,5,3000
episode_video4,podcast0,Tech Talk Daily,user17,Epic World History,negative,This video explained the concept so clearly. I finally get it!,7,0,345000
episode_video34,podcast8,Fictional Worlds,user18,Mind-Bending Thrillers,negative,The presenter's sense of humor made this video enjoyable and fun.,9,2,55000
episode_video5,podcast0,Tech Talk Daily,user12,Culinary Delights of Italy,positive,I learned something new today. Thanks for the informative video!,10,6,307000
episode_video30,podcast7,Historical Mysteries,user12,Green Earth: Sustainable Living,neutral,I can't believe I've been missing out on this content. Subscribed!,4,0,95000
episode_video36,podcast8,Fictional Worlds,user16,Hilarious Sitcom Classics,negative,The presenter's sense of humor made this video enjoyable and fun.,8,2,157000
episode_video26,podcast4,Planet Earth Unplugged,user18,The Secrets of Science,negative,"I watched this video twice, it's that good! Kudos to the creator.",0,8,74000
episode_video2,podcast0,Tech Talk Daily,user10,Saving Endangered Species,negative,The visuals in this video were amazing. I was glued to the screen.,4,9,151000
episode_video33,podcast8,Fictional Worlds,user3,Emotional Human Journeys,negative,I can't believe I've been missing out on this content. Subscribed!,9,5,127000
episode_video16,podcast2,True Crime Chronicles,user16,Laugh Out Loud Comedy Show,negative,This video explained the concept so clearly. I finally get it!,4,4,262000
episode_video2,podcast0,Tech Talk Daily,user9,Saving Endangered Species,negative,The presenter's sense of humor made this video enjoyable and fun.,4,10,64000
episode_video13,podcast1,Business Buzz,user1,Crime Solvers: Unsolved Mysteries,neutral,I can't believe I've been missing out on this content. Subscribed!,10,2,97000
episode_video4,podcast0,Tech Talk Daily,user9,Epic World History,positive,The visuals in this video were amazing. I was glued to the screen.,9,9,263000
episode_video9,podcast1,Business Buzz,user12,Heartfelt Family Reunions,positive,The presenter's sense of humor made this video enjoyable and fun.,1,2,154000
