episode_id,podcast_id,podcast_name,episode_title,episode_description,video_name,creation_time
"episode_video10","podcast1","Business Buzz","Business Buzz: The Enchanted Forest","Business Buzz: Step into the enchanting forest, where magical creatures and mythical beings await your arrival.","The Enchanted Forest","2024-08-23 08:16:32"
"episode_video11","podcast1","Business Buzz","Business Buzz: The Road Less Traveled","Business Buzz: Choosing the road less traveled leads to unexpected encounters and extraordinary tales.","Spectacular Sports Moments","2024-08-23 08:16:32"
"episode_video12","podcast1","Business Buzz","Business Buzz: Legends and Myths","Business Buzz: Myths and legends come to life as our heroes embark on legendary quests and meet legendary figures.","Historical Love Stories","2024-08-23 08:16:32"
"episode_video13","podcast1","Business Buzz","Business Buzz: Mysteries of the Deep","Business Buzz: Journey into the depths of the deep, where strange creatures and forgotten relics await.","Crime Solvers: Unsolved Mysteries","2024-08-23 08:16:32"
"episode_video14","podcast2","True Crime Chronicles","True Crime Chronicles: Realm of Dreams","True Crime Chronicles: The realm of dreams is a place of wonder, but it's not without its own set of dangers.","Architectural Wonders","2024-08-23 08:16:32"
"episode_video15","podcast2","True Crime Chronicles","True Crime Chronicles: Forging Alliances","True Crime Chronicles: Forging alliances is key to overcoming challenges and achieving great feats in the land of adventure.","A Journey Through Japan","2024-08-23 08:16:32"
"episode_video16","podcast2","True Crime Chronicles","True Crime Chronicles: The Quest for Truth","True Crime Chronicles: The quest for truth is never-ending as heroes seek to unravel the mysteries of their world.","Laugh Out Loud Comedy Show","2024-08-23 08:16:32"
"episode_video17","podcast2","True Crime Chronicles","True Crime Chronicles: Rise of the Phoenix","True Crime Chronicles: The phoenix rises from the ashes, signifying a time of renewal and transformation.","Survival in the Wild","2024-08-23 08:16:32"
"episode_video18","podcast2","True Crime Chronicles","True Crime Chronicles: Tales from Beyond","True Crime Chronicles: Tales from beyond bring stories of distant lands, each with its own unique charm.","Epic Fantasy Adventures","2024-08-23 08:16:32"
"episode_video19","podcast2","True Crime Chronicles","True Crime Chronicles: The Hidden Key","True Crime Chronicles: The hidden key unlocks secrets that were meant to remain concealed.","Innovation and Technology Today","2024-08-23 08:16:32"
"episode_video20","podcast3","Mindful Living","Mindful Living: Through the Veil","Mindful Living: Venture through the veil and experience a world beyond imagination.","Mysteries of Ancient Egypt","2024-08-23 08:16:32"
"episode_video21","podcast3","Mindful Living","Mindful Living: Songs of Destiny","Mindful Living: Songs of destiny guide the heroes on their journey, helping them uncover the truth.","Inside the Human Mind","2024-08-23 08:16:32"
"episode_video22","podcast3","Mindful Living","Mindful Living: Echoes from the Past","Mindful Living: Echoes from the past resonate with the present, offering valuable lessons for the future.","Beautiful World Music","2024-08-23 08:16:32"
"episode_video23","podcast3","Mindful Living","Mindful Living: The Dark Prophecy","Mindful Living: A dark prophecy looms over the land, and heroes must confront the shadows it casts.","Legal Battles in the Courtroom","2024-08-23 08:16:32"
"episode_video24","podcast4","Planet Earth Unplugged","Planet Earth Unplugged: Cursed Relics","Planet Earth Unplugged: Cursed relics hold both power and danger, and heroes must make crucial choices.","A Taste of Home","2024-08-23 08:16:32"
"episode_video25","podcast4","Planet Earth Unplugged","Planet Earth Unplugged: Voyage of Discovery","Planet Earth Unplugged: A voyage of discovery takes our heroes to new lands, filled with wonders and enigmas.","High-Stakes Heist Operation","2024-08-23 08:16:32"
"episode_video26","podcast4","Planet Earth Unplugged","Planet Earth Unplugged: Riddles and Enigmas","Planet Earth Unplugged: Riddles and enigmas present themselves at every turn, challenging the minds of our adventurers.","The Secrets of Science","2024-08-23 08:16:32"
"episode_video27","podcast5","Foodie Adventures","Foodie Adventures: Chronicles of Valor","Foodie Adventures: The chronicles of valor tell the stories of bravery, courage, and heroism.","Light-Hearted Romantic Comedy","2024-08-23 08:16:32"
"episode_video28","podcast6","The Comedy Corner","The Comedy Corner: Whispers of the Ancients","The Comedy Corner: Whispers of the ancients offer cryptic guidance as heroes uncover the secrets of the past.","Edge of Your Seat Thrillers","2024-08-23 08:16:32"
"episode_video29","podcast7","Historical Mysteries","Historical Mysteries: Sands of Time","Historical Mysteries: The sands of time flow inexorably, reminding our heroes of the fleeting nature of life.","Exploring World Art","2024-08-23 08:16:32"
"episode_video30","podcast7","Historical Mysteries","Historical Mysteries: Eternal Echoes","Historical Mysteries: Eternal echoes resonate throughout the ages, connecting the past, present, and future.","Green Earth: Sustainable Living","2024-08-23 08:16:32"
"episode_video31","podcast7","Historical Mysteries","Historical Mysteries: The Alchemist's Secret","Historical Mysteries: The alchemist's secret holds the key to unlocking great power and potential.","Ancient Myths and Legends","2024-08-23 08:16:32"
"episode_video32","podcast7","Historical Mysteries","Historical Mysteries: The Lost Scroll","Historical Mysteries: The lost scroll reveals ancient knowledge that could change the course of history.","The Quest for Adventure","2024-08-23 08:16:32"
"episode_video33","podcast8","Fictional Worlds","Fictional Worlds: Guardians of the Kingdom","Fictional Worlds: Guardians of the kingdom watch over and protect the land from threats and invaders.","Emotional Human Journeys","2024-08-23 08:16:32"
"episode_video34","podcast8","Fictional Worlds","Fictional Worlds: The Forbidden Land","Fictional Worlds: The forbidden land is a place of mystery and danger, where few dare to tread.","Mind-Bending Thrillers","2024-08-23 08:16:32"
"episode_video35","podcast8","Fictional Worlds","Fictional Worlds: The Crystal Guardians","Fictional Worlds: The crystal guardians are powerful beings tasked with safeguarding precious treasures.","A World of Science","2024-08-23 08:16:32"
"episode_video36","podcast8","Fictional Worlds","Fictional Worlds: The Enigma Code","Fictional Worlds: The enigma code conceals secrets that only the most determined can decipher.","Hilarious Sitcom Classics","2024-08-23 08:16:32"
"episode_video37","podcast8","Fictional Worlds","Fictional Worlds: Pirates of the Abyss","Fictional Worlds: Pirates of the abyss sail the treacherous seas, seeking adventure and fortune.","The Music of Nature","2024-08-23 08:16:32"
"episode_video38","podcast9","Career Insights","Career Insights: The Cryptic Chronicles","Career Insights: Explore the cryptic chronicles of a world filled with enigmas and surprises.","Planet Earth's Beauty","2024-08-23 08:16:32"
"episode_video39","podcast9","Career Insights","Career Insights: The Final Frontier","Career Insights: The heroes embark on their ultimate journey, facing challenges in the final frontier.","Epic Space Exploration","2024-08-23 08:16:32"
